listing_id,building,floor,rooms,area,price,status,url,area_m2,price_eur,price_per_m2
V92,V,9,1.0,"31,21 m²",189 280 €,Voľný,https://www.ceresne.sk/ponuka-bytov/byt/v92/,31.21,189280.0,6064.722845241909
V91,V,9,2.0,"51,82 m²",-,Predaný,,51.82,,
V88,V,8,3.0,"67,33 m²",-,Nedostupný,,67.33,,
V87,V,8,2.0,"47,60 m²",-,Predaný,,47.6,,
V86,V,8,1.0,"34,34 m²",-,Nedostupný,,34.34,,
V85,V,8,3.0,"64,54 m²",-,Predaný,,64.54,,
V84,V,8,2.0,"54,38 m²",-,Predrezervovaný,,54.38,,
V83,V,8,1.0,"31,47 m²",-,Rezervovaný,,31.47,,
V82,V,8,1.0,"31,62 m²",189 571 €,Voľný,https://www.ceresne.sk/ponuka-bytov/byt/v82/,31.62,189571.0,5995.287792536369
V81,V,8,2.0,"51,11 m²",-,Predaný,,51.11,,
V78,V,7,3.0,"66,84 m²",-,Nedostupný,,66.84,,
V77,V,7,2.0,"47,44 m²",-,Predaný,,47.44,,
V76,V,7,1.0,"34,50 m²",-,Nedostupný,,34.5,,
V75,V,7,3.0,"65,30 m²",-,Nedostupný,,65.3,,
V74,V,7,2.0,"54,83 m²",-,Predaný,,54.83,,
V73,V,7,1.0,"31,47 m²",-,Predaný,,31.47,,
V72,V,7,1.0,"31,36 m²",-,Predaný,,31.36,,
V71,V,7,2.0,"51,82 m²",-,Predaný,,51.82,,
V68,V,6,3.0,"67,33 m²",313 303 €,Voľný,https://www.ceresne.sk/ponuka-bytov/byt/v68/,67.33,313303.0,4653.245210158919
V67,V,6,2.0,"47,60 m²",254 359 €,Voľný,https://www.ceresne.sk/ponuka-bytov/byt/v67/,47.6,254359.0,5343.676470588235
V66,V,6,1.0,"34,34 m²",-,Predaný,,34.34,,
V65,V,6,3.0,"64,54 m²",-,Predaný,,64.54,,
V64,V,6,2.0,"54,38 m²",-,Predaný,,54.38,,
V63,V,6,1.0,"31,62 m²",-,Nedostupný,,31.62,,
V62,V,6,1.0,"31,62 m²",-,Predaný,,31.62,,
V61,V,6,2.0,"51,11 m²",-,Predaný,,51.11,,
V58,V,5,3.0,"67,40 m²",-,Nedostupný,,67.4,,
V57,V,5,2.0,"47,53 m²",-,Predaný,,47.53,,
V56,V,5,1.0,"34,32 m²",-,Predaný,,34.32,,
V55,V,5,3.0,"64,22 m²",305 073 €,Voľný,https://www.ceresne.sk/ponuka-bytov/byt/v55/,64.22,305073.0,4750.436001245718
V54,V,5,2.0,"54,09 m²",-,Predaný,,54.09,,
V53,V,5,1.0,"31,21 m²",-,Predaný,,31.21,,
V52,V,5,1.0,"31,47 m²",-,Predaný,,31.47,,
V51,V,5,2.0,"50,95 m²",-,Predaný,,50.95,,
V48,V,4,3.0,"67,17 m²",-,Nedostupný,,67.17,,
V47,V,4,2.0,"47,15 m²",-,Predaný,,47.15,,
V46,V,4,1.0,"34,02 m²",190 512 €,Voľný,https://www.ceresne.sk/ponuka-bytov/byt/v46/,34.02,190512.0,5599.999999999999
V45,V,4,3.0,"64,75 m²",-,Nedostupný,,64.75,,
V44,V,4,2.0,"54,77 m²",-,Predrezervovaný,,54.77,,
V43,V,4,1.0,"31,21 m²",-,Predaný,,31.21,,
V42,V,4,1.0,"31,21 m²",-,Predaný,,31.21,,
V41,V,4,2.0,"51,45 m²",-,Predaný,,51.45,,
V38,V,3,3.0,"66,05 m²",-,Nedostupný,,66.05,,
V37,V,3,2.0,"46,47 m²",-,Nedostupný,,46.47,,
V36,V,3,1.0,"33,69 m²",-,Predaný,,33.69,,
V35,V,3,3.0,"64,18 m²",-,Nedostupný,,64.18,,
V34,V,3,2.0,"53,89 m²",-,Predaný,,53.89,,
V33,V,3,1.0,"30,94 m²",-,Predaný,,30.94,,
V32,V,3,1.0,"30,68 m²",-,Predaný,,30.68,,
V31,V,3,2.0,"51,34 m²",-,Predaný,,51.34,,
V28,V,2,3.0,"65,65 m²",300 274 €,Voľný,https://www.ceresne.sk/ponuka-bytov/byt/v28/,65.65,300274.0,4573.861386138614
V27,V,2,2.0,"46,62 m²",-,Predaný,,46.62,,
V26,V,2,1.0,"33,53 m²",-,Predaný,,33.53,,
V25,V,2,3.0,"63,42 m²",295 966 €,Voľný,https://www.ceresne.sk/ponuka-bytov/byt/v25/,63.42,295966.0,4666.761274046042
V24,V,2,2.0,"53,45 m²",-,Predaný,,53.45,,
V23,V,2,1.0,"31,33 m²",-,Predaný,,31.33,,
V22,V,2,1.0,"31,33 m²",-,Predaný,,31.33,,
V21,V,2,2.0,"49,89 m²",-,Predaný,,49.89,,
V14,V,1,2.0,"114,85 m²",-,Nedostupný,,114.85,,
V13,V,1,3.0,"135,54 m²",323 521 €,Voľný,https://www.ceresne.sk/ponuka-bytov/byt/v13/,135.54,323521.0,2386.9042349122033
V12,V,1,1.0,"52,37 m²",-,Predaný,,52.37,,
V11,V,1,2.0,"82,41 m²",-,Nedostupný,,82.41,,
J55 DUPLIKAT,J,5,4.0,"103,96 m²",-,Rezervovaný,,103.96,,
J12,J,1,5.0,"192,87 m²",-,Predaný,,192.87,,
J13,J,1,4.0,"178,36 m²",-,Predaný,,178.36,,
J11,J,1,4.0,"165,98 m²",-,Predaný,,165.98,,
J15,J,1,5.0,"190,86 m²",-,Predaný,,190.86,,
J16,J,1,4.0,"166,97 m²",-,Predaný,,166.97,,
J14,J,1,4.0,"175,98 m²",-,Predaný,,175.98,,
J71,J,7,4.0,"208,78 m²",-,Predaný,,208.78,,
J72,J,7,4.0,"192,77 m²",-,Predaný,,192.77,,
J64,J,6,1.0,"32,12 m²",-,Predaný,,32.12,,
J65,J,6,4.0,"104,34 m²",-,Predaný,,104.34,,
J66,J,6,1.0,"30,41 m²",-,Predaný,,30.41,,
J61,J,6,4.0,"111,24 m²",-,Predaný,,111.24,,
J62,J,6,4.0,"112,86 m²",-,Predaný,,112.86,,
J63,J,6,1.0,"35,73 m²",-,Predaný,,35.73,,
J54,J,5,1.0,"32,12 m²",-,Predaný,,32.12,,
J55,J,5,4.0,"103,96 m²",-,Predaný,,103.96,,
J56,J,5,1.0,"30,41 m²",-,Predaný,,30.41,,
J51,J,5,4.0,"111,57 m²",-,Predaný,,111.57,,
J52,J,5,4.0,"112,85 m²",-,Predaný,,112.85,,
J53,J,5,1.0,"35,73 m²",-,Predaný,,35.73,,
J44,J,4,1.0,"32,02 m²",-,Predaný,,32.02,,
J45,J,4,4.0,"104,14 m²",-,Predaný,,104.14,,
J46,J,4,1.0,"32,04 m²",-,Predaný,,32.04,,
J41,J,4,4.0,"112,04 m²",-,Predaný,,112.04,,
J42,J,4,4.0,"112,86 m²",-,Predaný,,112.86,,
J43,J,4,1.0,"35,56 m²",-,Predaný,,35.56,,
J34,J,3,1.0,"32,02 m²",-,Predaný,,32.02,,
J35,J,3,4.0,"99,90 m²",-,Predaný,,99.9,,
J36,J,3,1.0,"30,31 m²",-,Predaný,,30.31,,
J31,J,3,4.0,"111,25 m²",-,Predaný,,111.25,,
J32,J,3,4.0,"113,36 m²",-,Predaný,,113.36,,
J33,J,3,1.0,"35,56 m²",-,Predaný,,35.56,,
I14,I,1,5.0,"196,38 m²",-,Predaný,,196.38,,
I15,I,1,4.0,"155,48 m²",-,Predaný,,155.48,,
I83,I,8,2.0,"45,66 m²",-,Predaný,,45.66,,
I84,I,8,5.0,"254,68 m²",-,Predaný,,254.68,,
I13,I,1,4.0,"176,23 m²",-,Predaný,,176.23,,
I74,I,7,3.0,"76,99 m²",-,Predaný,,76.99,,
I81,I,8,5.0,"153,49 m²",-,Predaný,,153.49,,
I82,I,8,5.0,"242,92 m²",-,Predaný,,242.92,,
I71,I,7,4.0,"121,48 m²",-,Predaný,,121.48,,
I72,I,7,4.0,"102,94 m²",-,Predaný,,102.94,,
I73,I,7,1.0,"33,46 m²",-,Predaný,,33.46,,
I62,I,6,4.0,"104,16 m²",-,Predaný,,104.16,,
I63,I,6,1.0,"33,48 m²",-,Predaný,,33.48,,
I64,I,6,3.0,"76,98 m²",-,Predaný,,76.98,,
I53,I,5,1.0,"33,48 m²",-,Predaný,,33.48,,
I54,I,5,3.0,"76,97 m²",-,Predaný,,76.97,,
I61,I,6,4.0,"119,79 m²",-,Predaný,,119.79,,
I44,I,4,3.0,"76,75 m²",-,Predaný,,76.75,,
I51,I,5,4.0,"120,12 m²",-,Predaný,,120.12,,
I52,I,5,4.0,"99,08 m²",-,Predaný,,99.08,,
I41,I,4,4.0,"121,11 m²",-,Predaný,,121.11,,
I42,I,4,4.0,"103,98 m²",-,Predaný,,103.98,,
I43,I,4,1.0,"33,39 m²",-,Predaný,,33.39,,
I32,I,3,4.0,"98,89 m²",-,Predaný,,98.89,,
I33,I,3,1.0,"33,39 m²",-,Predaný,,33.39,,
I34,I,3,3.0,"76,75 m²",-,Predaný,,76.75,,
I31,I,3,4.0,"121,11 m²",-,Predaný,,121.11,,
K71,K,7,4.0,"190,83 m²",-,Predaný,,190.83,,
